update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
1,8192,36.81103684709997,222,0.0,0.0,0,0,0.0,0.0,0,0,1.3855642619697999,0.12483853322919458,-0.08515569116813519,0.002923544901074493,0.02646300400978562,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
2,16384,37.91376419759765,438,0.0,0.0,0,0,0.0,0.0,0,0,1.3856209473063548,0.17154670540670244,-0.04109429437442221,0.002827979913361626,0.03250398789875728,0.0,0.0,0,0
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
3,24576,40.49415374167545,640,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3835042108160753,0.180492744819882,-0.021633362677751695,0.0008887067498252558,0.017016630156206566,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
4,32768,31.142641496420538,903,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3849949282594025,0.19144586901044627,-0.013085942502774136,0.001607271303161184,0.028895500424958226,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
5,40960,39.68559658435435,1110,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.384850363402317,0.19239213590238555,-0.0028965243070331326,0.0012441683877023972,0.021736765622496653,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
6,49152,38.18876235007137,1324,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3845947534622003,0.18003694650057392,0.005954257603813555,0.0005005467326337035,0.02125702683156124,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
7,57344,38.878904150048655,1535,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.384991206927225,0.18177622294751927,0.01068050547776996,0.001242715254911116,0.01436287335224091,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
8,65536,39.06153564948525,1745,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3845895840010296,0.17077832441039695,0.0023685947194659698,0.0013722209558405158,0.02442182320923411,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
9,73728,38.136995586610304,1960,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3833884600705157,0.1638798079220578,0.020662344003388473,0.00181856958588907,0.01747134768116809,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
update,frames,FPS,duration,rreturn_mean,rreturn_std,rreturn_min,rreturn_max,num_frames_mean,num_frames_std,num_frames_min,num_frames_max,entropy,value,policy_loss,value_loss,grad_norm,return_mean,return_std,return_min,return_max
10,81920,37.6395161771863,2177,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3816965150181204,0.14895465665419275,0.00433939427906201,0.0010249728027490097,0.022837063567301082,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
11,90112,38.44782845302319,2391,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3764040252038587,0.15043473911646288,0.020179400875709536,0.0012108877916467975,0.01657157561125167,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
12,98304,40.146844638049366,2595,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055,525.0,0.0,525.0,525.0,1.3777584991573046,0.1202316766042107,0.003945338619852616,0.0006055636572965817,0.014848563175575738,-0.21000126004219055,0.0,-0.21000126004219055,-0.21000126004219055
